pair_type,left_id,left_name,right_id,right_name,cpu_socket,cpu_power_w,cooler_supported_sockets,cooler_capacity_w,cooler_type,compatible
cpu_cooler,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1851,121,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,no
cpu_cooler,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),100,TCOMAS CUBE 360 ARGB (화이트),LGA1851,121,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),95,잘만 ALPHA II SE A36 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,no
cpu_cooler,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),100,TCOMAS CUBE 360 ARGB (화이트),LGA1851,250,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),95,잘만 ALPHA II SE A36 (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,no
cpu_cooler,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),100,TCOMAS CUBE 360 ARGB (화이트),LGA1851,159,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),95,잘만 ALPHA II SE A36 (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,yes
cpu_cooler,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),100,TCOMAS CUBE 360 ARGB (화이트),LGA1700,148,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),95,잘만 ALPHA II SE A36 (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1700,148,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,yes
