pair_type,left_id,left_name,right_id,right_name,cpu_socket,cpu_memory_types,board_socket,board_memory_type,board_form_factor,compatible
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1851,DDR5,LGA1851,DDR5,ATX,yes
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),50,MSI PRO B760M-A DDR4 II,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1851,DDR5,LGA1700,DDR5,M-ATX,no
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),44,MSI MAG B860M 박격포 WIFI,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),47,ASUS PRIME B860M-A-CSM 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1851,DDR5,LGA1851,DDR5,ATX,yes
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),49,GIGABYTE B860M DS3H 제이씨현,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),50,MSI PRO B760M-A DDR4 II,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),53,ASRock B760M Pro RS D5 에즈윈,LGA1851,DDR5,LGA1700,DDR5,M-ATX,no
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),54,ASUS PRIME B760M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,29,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크),55,ASUS PRIME H610M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),44,MSI MAG B860M 박격포 WIFI,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1851,DDR5,LGA1851,DDR5,ATX,yes
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),50,MSI PRO B760M-A DDR4 II,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1851,DDR5,LGA1700,DDR5,M-ATX,no
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,30,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),44,MSI MAG B860M 박격포 WIFI,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1851,DDR5,LGA1851,DDR5,ATX,yes
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1851,DDR5,LGA1851,DDR5,M-ATX,yes
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),50,MSI PRO B760M-A DDR4 II,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1851,DDR5,LGA1700,DDR5,M-ATX,no
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,31,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1851,DDR5,LGA1700,DDR4,M-ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),44,MSI MAG B860M 박격포 WIFI,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),50,MSI PRO B760M-A DDR4 II,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1700,DDR4|DDR5,LGA1700,DDR5,M-ATX,yes
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,32,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),44,MSI MAG B860M 박격포 WIFI,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,ATX,no
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),50,MSI PRO B760M-A DDR4 II,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1700,DDR4|DDR5,LGA1700,DDR5,M-ATX,yes
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,33,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),44,MSI MAG B860M 박격포 WIFI,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),47,ASUS PRIME B860M-A-CSM 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,ATX,no
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),49,GIGABYTE B860M DS3H 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),50,MSI PRO B760M-A DDR4 II,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),53,ASRock B760M Pro RS D5 에즈윈,LGA1700,DDR4|DDR5,LGA1700,DDR5,M-ATX,yes
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),54,ASUS PRIME B760M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,34,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (벌크),55,ASUS PRIME H610M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),44,MSI MAG B860M 박격포 WIFI,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,ATX,no
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),50,MSI PRO B760M-A DDR4 II,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1700,DDR4|DDR5,LGA1700,DDR5,M-ATX,yes
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,35,인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),44,MSI MAG B860M 박격포 WIFI,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),47,ASUS PRIME B860M-A-CSM 코잇,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,ATX,no
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),49,GIGABYTE B860M DS3H 제이씨현,LGA1700,DDR4|DDR5,LGA1851,DDR5,M-ATX,no
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),50,MSI PRO B760M-A DDR4 II,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),52,GIGABYTE B760M DS3H D4 제이씨현,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),53,ASRock B760M Pro RS D5 에즈윈,LGA1700,DDR4|DDR5,LGA1700,DDR5,M-ATX,yes
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),54,ASUS PRIME B760M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
cpu_motherboard,36,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),55,ASUS PRIME H610M-A D4 STCOM,LGA1700,DDR4|DDR5,LGA1700,DDR4,M-ATX,yes
