pair_type,left_id,left_name,right_id,right_name,board_memory_type,ram_memory_type,ram_capacity_gb,compatible
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,102,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),DDR5,DDR5,32,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,103,TeamGroup DDR5-5600 CL46 Elite 서린 (16GB),DDR5,DDR5,16,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,104,PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 화이트 (16GB),DDR5,DDR5,16,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,105,삼성전자 DDR5-5600 (16GB),DDR5,DDR5,16,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,106,ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포 (16GB),DDR5,DDR5,16,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,107,ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),DDR5,DDR4,16,no
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,108,삼성전자 DDR4-3200 (8GB),DDR5,DDR4,8,no
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,109,삼성전자 DDR4-3200 중고 (8GB),DDR5,DDR4,8,no
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,110,삼성전자 DDR4-2666 중고 (16GB),DDR5,DDR4,16,no
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,111,TeamGroup DDR4-3200 Elite 서린 (8GB),DDR5,DDR4,8,no
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,112,PATRIOT DDR4-3200 CL22 SIGNATURE (16GB),DDR5,DDR4,16,no
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,166,삼성전자 DDR5-5600 ECC/REG (64GB),DDR5,DDR5,64,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,167,ADATA DDR5-5600 CL46 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,168,G.SKILL DDR5-6400 CL52 G5 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,169,G.SKILL DDR5-5600 CL46 G5 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,170,ADATA DDR5-5600 CL46 ECC/REG 서린 (64GB),DDR5,DDR5,64,yes
motherboard_ram,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,171,G.SKILL DDR5-6400 CL32 T5 NEO ECC/REG 패키지 (192GB(48Gx4)),DDR5,DDR5,192,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,101,ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),DDR5,DDR5,16,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,102,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),DDR5,DDR5,32,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,103,TeamGroup DDR5-5600 CL46 Elite 서린 (16GB),DDR5,DDR5,16,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,104,PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 화이트 (16GB),DDR5,DDR5,16,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,105,삼성전자 DDR5-5600 (16GB),DDR5,DDR5,16,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,106,ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포 (16GB),DDR5,DDR5,16,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,107,ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),DDR5,DDR4,16,no
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,108,삼성전자 DDR4-3200 (8GB),DDR5,DDR4,8,no
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,109,삼성전자 DDR4-3200 중고 (8GB),DDR5,DDR4,8,no
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,110,삼성전자 DDR4-2666 중고 (16GB),DDR5,DDR4,16,no
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,111,TeamGroup DDR4-3200 Elite 서린 (8GB),DDR5,DDR4,8,no
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,112,PATRIOT DDR4-3200 CL22 SIGNATURE (16GB),DDR5,DDR4,16,no
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,166,삼성전자 DDR5-5600 ECC/REG (64GB),DDR5,DDR5,64,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,167,ADATA DDR5-5600 CL46 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,168,G.SKILL DDR5-6400 CL52 G5 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,169,G.SKILL DDR5-5600 CL46 G5 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,170,ADATA DDR5-5600 CL46 ECC/REG 서린 (64GB),DDR5,DDR5,64,yes
motherboard_ram,47,ASUS PRIME B860M-A-CSM 코잇,171,G.SKILL DDR5-6400 CL32 T5 NEO ECC/REG 패키지 (192GB(48Gx4)),DDR5,DDR5,192,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,101,ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),DDR5,DDR5,16,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,102,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),DDR5,DDR5,32,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,103,TeamGroup DDR5-5600 CL46 Elite 서린 (16GB),DDR5,DDR5,16,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,104,PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 화이트 (16GB),DDR5,DDR5,16,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,105,삼성전자 DDR5-5600 (16GB),DDR5,DDR5,16,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,106,ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포 (16GB),DDR5,DDR5,16,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,107,ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),DDR5,DDR4,16,no
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,108,삼성전자 DDR4-3200 (8GB),DDR5,DDR4,8,no
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,109,삼성전자 DDR4-3200 중고 (8GB),DDR5,DDR4,8,no
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,110,삼성전자 DDR4-2666 중고 (16GB),DDR5,DDR4,16,no
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,111,TeamGroup DDR4-3200 Elite 서린 (8GB),DDR5,DDR4,8,no
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,112,PATRIOT DDR4-3200 CL22 SIGNATURE (16GB),DDR5,DDR4,16,no
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,166,삼성전자 DDR5-5600 ECC/REG (64GB),DDR5,DDR5,64,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,167,ADATA DDR5-5600 CL46 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,168,G.SKILL DDR5-6400 CL52 G5 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,169,G.SKILL DDR5-5600 CL46 G5 ECC/REG (32GB),DDR5,DDR5,32,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,170,ADATA DDR5-5600 CL46 ECC/REG 서린 (64GB),DDR5,DDR5,64,yes
motherboard_ram,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,171,G.SKILL DDR5-6400 CL32 T5 NEO ECC/REG 패키지 (192GB(48Gx4)),DDR5,DDR5,192,yes
motherboard_ram,49,GIGABYTE B860M DS3H 제이씨현,101,ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),DDR5,DDR5,16,yes
